#From,To,Type (1: Power Flow ; 2:Power Injection; 3: Voltage Angle)
153,7005,1
154,843,1
154,3222,1
154,4010,1
155,3924,1
155,4437,1
155,8051,1
155,8418,1
156,2943,1
156,5013,1
156,6606,1
157,3006,1
158,2433,1
158,4578,1
158,8346,1
159,6102,1
160,2141,1
160,2952,1
160,4358,1
160,6476,1
161,6235,1
162,3874,1
163,1248,1
163,1768,1
163,2430,1
163,4974,1
164,2180,1
164,2708,1
165,2522,1
165,4985,1
166,8699,1
167,7324,1
168,3055,1
169,6705,1
171,4615,1
171,6053,1
173,27,1
173,1719,1
173,4002,1
174,5213,1
174,8316,1
176,6943,1
177,1974,1
177,5361,1
177,8459,1
178,8559,1
179,1728,1
180,694,1
181,2480,1
182,2196,1
182,2306,1
182,3514,1
183,6347,1
184,1526,1
185,3590,1
186,4671,1
187,3677,1
187,4591,1
188,3758,1
189,456,1
189,2691,1
192,438,1
192,1029,1
192,1587,1
192,5495,1
192,5717,1
192,8851,1
192,8938,1
193,1601,1
195,4525,1
195,9180,1
196,1105,1
196,1973,1
197,4498,1
197,7741,1
200,8456,1
201,8582,1
202,3551,1
202,3599,1
203,5264,1
204,545,1
207,7791,1
208,501,1
208,612,1
208,5702,1
208,8799,1
210,8739,1
211,140,1
211,2824,1
213,3089,1
213,7721,1
214,3797,1
215,2798,1
215,6647,1
215,7224,1
215,7946,1
215,8076,1
217,1179,1
217,2575,1
217,6785,1
217,7274,1
217,9128,1
218,2088,1
220,2039,1
221,1541,1
222,3525,1
222,5874,1
223,3203,1
225,7647,1
226,4367,1
227,3124,1
228,4586,1
230,1802,1
230,3629,1
231,6383,1
232,2339,1
233,5447,1
235,6911,1
236,3427,1
236,8236,1
237,4766,1
238,5945,1
239,84,1
239,7340,1
240,2292,1
241,1238,1
242,63,1
242,7711,1
242,8022,1
246,1434,1
247,6487,1
248,7089,1
248,8449,1
249,1741,1
250,7725,1
251,2346,1
251,4900,1
252,5719,1
252,8498,1
253,6718,1
256,893,1
256,2650,1
257,1021,1
257,6769,1
258,4777,1
259,2725,1
260,629,1
260,1581,1
260,2605,1
260,6307,1
261,1774,1
262,328,1
262,7298,1
262,8449,1
263,5538,1
265,1952,1
265,2867,1
265,7992,1
266,4290,1
266,4843,1
266,8374,1
267,3592,1
267,7349,1
268,1057,1
271,2908,1
271,7762,1
272,5041,1
272,6859,1
273,5976,1
273,5989,1
276,4012,1
277,6676,1
280,4196,1
281,3960,1
281,4077,1
281,8086,1
282,5009,1
282,6245,1
283,800,1
283,4747,1
284,2907,1
285,1636,1
287,6693,1
287,7448,1
288,4659,1
288,8591,1
290,6204,1
291,3290,1
291,3375,1
296,2439,1
296,8388,1
297,2381,1
298,345,1
299,947,1
299,7460,1
301,6463,1
301,7186,1
302,7614,1
303,8470,1
304,6512,1
305,1035,1
306,3830,1
306,5648,1
306,8448,1
307,8580,1
308,1476,1
309,1823,1
309,5149,1
311,370,1
311,643,1
311,1352,1
312,5783,1
314,2467,1
314,5256,1
314,5789,1
314,8930,1
315,2410,1
316,242,1
317,2449,1
317,6233,1
318,3998,1
319,3168,1
319,4086,1
319,7263,1
320,20,1
322,177,1
323,6050,1
323,6740,1
324,3332,1
324,4052,1
324,5401,1
324,7207,1
326,4340,1
326,6282,1
328,578,1
329,8481,1
330,5116,1
330,7781,1
331,8004,1
332,8408,1
334,7689,1
335,4881,1
336,1070,1
338,7824,1
339,3958,1
341,5057,1
341,5397,1
343,2679,1
344,1011,1
344,2117,1
344,5364,1
346,3184,1
346,6570,1
348,4836,1
350,5362,1
353,6365,1
353,6602,1
353,7285,1
354,1278,1
357,522,1
357,2652,1
357,6309,1
358,3032,1
359,9048,1
360,1338,1
362,2214,1
363,6255,1
365,6509,1
366,7658,1
367,8722,1
367,9191,1
368,2540,1
368,2710,1
369,3257,1
369,8510,1
371,4303,1
372,6088,1
372,8156,1
373,95,1
374,258,1
375,5021,1
376,2332,1
376,3348,1
376,4147,1
376,6813,1
377,7666,1
378,4468,1
379,3745,1
380,5339,1
380,5669,1
381,1615,1
381,1679,1
382,1924,1
382,5242,1
383,6875,1
383,9147,1
384,3863,1
386,2190,1
388,122,1
389,4259,1
390,6076,1
391,7192,1
392,3363,1
393,6461,1
394,2681,1
394,4571,1
395,4082,1
395,4485,1
396,5544,1
397,1120,1
397,1663,1
397,7055,1
398,7469,1
399,2905,1
401,1584,1
402,7855,1
403,4977,1
403,7536,1
404,9056,1
405,2423,1
405,8573,1
406,4038,1
407,2241,1
409,2683,1
410,5550,1
411,724,1
412,2599,1
413,1102,1
414,6330,1
415,2764,1
415,3367,1
416,4683,1
416,7937,1
417,3835,1
418,3575,1
419,6258,1
420,243,1
422,2914,1
422,6501,1
424,6753,1
427,4704,1
427,5425,1
429,7303,1
429,7877,1
431,4805,1
431,5369,1
432,2393,1
432,3112,1
432,8846,1
433,5528,1
434,4582,1
436,14,1
436,1930,1
436,4458,1
437,765,1
438,241,1
438,1177,1
438,1907,1
438,4753,1
438,5717,1
438,7684,1
438,8938,1
438,9100,1
439,511,1
439,1900,1
441,2233,1
442,7630,1
443,8827,1
445,7795,1
446,4242,1
447,3310,1
450,7106,1
451,144,1
452,8321,1
454,5349,1
454,6326,1
455,333,1
455,3857,1
456,1732,1
458,3508,1
458,7393,1
459,3090,1
460,2376,1
461,6577,1
463,1532,1
466,8863,1
468,5221,1
469,1296,1
469,8932,1
470,4222,1
471,939,1
472,349,1
472,775,1
472,7073,1
472,7156,1
472,8889,1
474,6876,1
475,5941,1
476,8955,1
477,1458,1
477,6769,1
478,7934,1
479,6546,1
480,2879,1
480,5457,1
480,8885,1
481,5391,1
481,5890,1
482,941,1
483,2658,1
483,5592,1
484,1403,1
484,1900,1
484,3396,1
485,7248,1
486,5740,1
487,3002,1
489,5435,1
491,4052,1
491,5862,1
491,7093,1
494,7300,1
496,5872,1
497,6326,1
498,6758,1
499,378,1
499,3762,1
499,5386,1
500,772,1
502,1604,1
502,9140,1
503,386,1
503,8256,1
503,8779,1
504,493,1
504,591,1
506,960,1
507,8897,1
508,1361,1
508,2560,1
508,3059,1
508,4227,1
509,4855,1
510,471,1
511,2852,1
511,6914,1
512,6338,1
513,2866,1
514,6346,1
516,1001,1
519,6443,1
519,7349,1
520,5395,1
521,1028,1
522,2945,1
522,8340,1
523,7476,1
525,4557,1
526,4516,1
527,8530,1
529,5527,1
530,4458,1
530,6324,1
533,3452,1
535,2811,1
535,3105,1
536,4344,1
536,7509,1
537,6012,1
537,7712,1
537,8970,1
538,5635,1
538,8684,1
539,6323,1
539,8167,1
540,3905,1
540,4146,1
543,4927,1
543,6123,1
543,7032,1
544,3007,1
544,8088,1
545,2534,1
545,6665,1
546,2612,1
549,2291,1
549,3656,1
549,6290,1
550,3792,1
551,5195,1
553,847,1
555,7548,1
557,5160,1
557,6046,1
558,243,1
559,9072,1
560,1091,1
560,8286,1
561,7520,1
562,3599,1
563,8958,1
564,2252,1
564,8475,1
565,6210,1
566,4960,1
567,6907,1
567,7081,1
568,239,1
569,3684,1
570,2213,1
570,3735,1
571,4466,1
571,7125,1
572,5086,1
572,5160,1
573,3801,1
575,4711,1
575,5300,1
578,1110,1
578,2604,1
580,6529,1
581,1664,1
582,5576,1
584,6343,1
585,1106,1
585,3148,1
585,7275,1
586,6626,1
588,2767,1
589,8174,1
590,2394,1
590,4859,1
593,1747,1
593,6998,1
594,8485,1
594,9217,1
595,2172,1
596,8815,1
598,4070,1
599,7870,1
600,4472,1
601,4544,1
602,6456,1
603,1049,1
603,2617,1
603,7657,1
603,7759,1
604,4000,1
606,2176,1
606,3578,1
607,3518,1
607,6398,1
608,6532,1
610,4721,1
611,5905,1
612,5445,1
613,723,1
614,8838,1
615,1959,1
615,4100,1
617,1048,1
617,7930,1
618,5332,1
619,6791,1
620,1532,1
620,1536,1
621,808,1
622,8404,1
623,8133,1
624,5958,1
624,7135,1
625,7978,1
626,4475,1
627,5758,1
629,2895,1
629,2955,1
629,4488,1
629,5596,1
630,2724,1
631,3463,1
633,3899,1
634,4358,1
634,8679,1
638,173,1
638,214,1
638,3797,1
639,1711,1
639,3072,1
639,3557,1
642,5608,1
644,6588,1
645,4297,1
649,1439,1
652,1675,1
652,7957,1
653,4532,1
653,7109,1
655,4882,1
655,9089,1
659,3097,1
659,4929,1
659,6798,1
659,7960,1
660,1356,1
660,5532,1
660,8237,1
662,5008,1
662,7073,1
663,4392,1
664,2530,1
665,36,1
665,4028,1
666,1494,1
666,1607,1
668,2490,1
670,8842,1
671,1519,1
673,2486,1
673,3225,1
674,3115,1
674,8885,1
675,204,1
675,460,1
675,2488,1
676,205,1
676,6439,1
676,8706,1
676,8738,1
677,3031,1
677,8024,1
679,147,1
681,6907,1
682,8477,1
683,1707,1
683,3854,1
683,4146,1
683,8602,1
685,1193,1
685,7672,1
686,3840,1
687,726,1
687,742,1
687,809,1
687,1642,1
687,3526,1
688,4540,1
689,2492,1
690,1715,1
691,1805,1
692,6362,1
693,5044,1
694,1964,1
694,5733,1
695,6022,1
696,6445,1
698,4333,1
698,7104,1
699,947,1
699,2951,1
699,3061,1
699,6882,1
701,1219,1
702,5825,1
703,4985,1
704,6302,1
705,2076,1
707,7955,1
708,2880,1
708,3068,1
708,4448,1
709,4652,1
712,2330,1
714,6007,1
715,5432,1
715,6008,1
716,6304,1
716,8108,1
717,4312,1
718,3051,1
718,8397,1
719,1764,1
720,1711,1
721,6375,1
723,407,1
723,7527,1
724,1527,1
725,1202,1
725,3056,1
728,168,1
729,4316,1
730,175,1
731,385,1
731,2764,1
731,3728,1
731,4020,1
733,8917,1
734,2453,1
735,5744,1
737,2882,1
738,7656,1
739,1393,1
739,4843,1
740,3223,1
741,773,1
744,1877,1
744,4260,1
745,3554,1
746,1375,1
746,3030,1
747,8507,1
748,2570,1
748,8524,1
749,9137,1
750,870,1
750,2961,1
750,8328,1
751,8338,1
752,2017,1
752,3278,1
753,6265,1
755,2791,1
755,5536,1
757,8347,1
758,538,1
759,342,1
760,3893,1
760,4584,1
761,7560,1
766,1625,1
768,2960,1
771,181,1
771,738,1
771,2637,1
772,609,1
777,4917,1
777,9099,1
778,1910,1
778,6820,1
780,6504,1
782,1508,1
782,4804,1
782,5017,1
783,1931,1
785,1848,1
785,4712,1
786,5145,1
787,2711,1
788,2352,1
789,6734,1
789,8788,1
790,6600,1
791,3368,1
791,3676,1
792,3279,1
792,4495,1
793,4001,1
793,8323,1
794,4924,1
794,5389,1
797,4290,1
797,5409,1
798,79,1
798,4121,1
798,4500,1
798,6321,1
798,6886,1
798,7161,1
799,7800,1
802,4487,1
802,8237,1
803,5918,1
803,6982,1
804,2142,1
804,7519,1
805,2093,1
805,3327,1
807,8337,1
807,8625,1
809,2035,1
809,2938,1
809,3028,1
809,4594,1
809,7098,1
811,1062,1
811,8395,1
813,2028,1
817,8635,1
818,4334,1
818,5784,1
819,7523,1
822,6977,1
824,1235,1
824,6400,1
825,2480,1
826,4583,1
826,8003,1
827,2630,1
827,3319,1
828,6410,1
829,1116,1
830,149,1
831,1988,1
834,6156,1
835,531,1
836,8793,1
837,1688,1
838,3314,1
838,3388,1
838,4272,1
838,6320,1
838,6662,1
838,7779,1
839,809,1
840,232,1
840,1877,1
842,167,1
843,3598,1
845,6226,1
847,85,1
847,1846,1
847,5399,1
848,1673,1
848,7465,1
850,3630,1
850,4746,1
850,6106,1
850,6592,1
853,459,1
853,1432,1
853,3944,1
859,5798,1
860,5612,1
862,1246,1
862,2568,1
863,1460,1
863,8937,1
864,4881,1
865,4030,1
865,9062,1
866,197,1
866,4499,1
867,3709,1
868,2679,1
869,4806,1
869,5366,1
870,6563,1
871,4031,1
871,6104,1
871,7539,1
872,2373,1
873,584,1
873,2223,1
873,2260,1
874,8958,1
875,2680,1
877,155,1
881,7001,1
883,3331,1
883,6842,1
884,84,1
885,3704,1
887,3161,1
887,7750,1
888,1143,1
889,7340,1
891,3697,1
893,1867,1
893,3238,1
894,1964,1
895,254,1
895,4801,1
895,8969,1
896,6507,1
899,1193,1
901,8970,1
902,2744,1
903,3654,1
904,5181,1
905,5781,1
905,8189,1
906,8444,1
909,7557,1
910,1042,1
911,8545,1
911,8781,1
914,2000,1
915,45,1
916,4224,1
917,3618,1
917,5197,1
918,341,1
918,2864,1
919,5008,1
919,6354,1
921,3173,1
921,4570,1
922,5489,1
922,6787,1
923,8906,1
925,1351,1
925,4378,1
926,2182,1
926,7728,1
928,52,1
929,1175,1
930,4407,1
932,7463,1
933,3775,1
935,5383,1
937,7740,1
938,394,1
938,7261,1
939,5677,1
940,7730,1
941,5135,1
941,7225,1
943,2097,1
944,5954,1
944,9178,1
945,2761,1
945,5196,1
946,3823,1
946,8588,1
948,4721,1
949,633,1
950,5792,1
951,4226,1
952,8220,1
953,6199,1
954,6806,1
955,9192,1
956,3940,1
956,8067,1
958,7992,1
959,3716,1
960,1754,1
960,2980,1
960,3239,1
960,7913,1
960,8497,1
961,5553,1
962,7283,1
962,7417,1
964,4623,1
964,6475,1
965,5700,1
965,8920,1
967,1858,1
967,7760,1
968,7780,1
968,9022,1
969,7440,1
970,6994,1
971,1360,1
971,3441,1
971,7278,1
972,3483,1
974,3820,1
974,7038,1
975,8407,1
976,2800,1
976,4600,1
977,5505,1
980,3400,1
981,2668,1
982,723,1
982,8085,1
983,4175,1
983,4285,1
983,7169,1
985,1257,1
985,8524,1
986,3367,1
987,2407,1
989,1087,1
989,8783,1
990,5642,1
990,5953,1
991,1405,1
991,5283,1
993,770,1
994,9083,1
995,7548,1
997,2929,1
997,5267,1
997,8400,1
998,4828,1
1000,6145,1
1001,1979,1
1001,3580,1
1001,4134,1
1001,5691,1
1001,8853,1
1002,4852,1
1003,1087,1
1006,1650,1
1006,2814,1
1008,6361,1
1010,6383,1
1012,517,1
1013,5025,1
1013,7875,1
1014,4258,1
1014,6318,1
1015,3492,1
1017,5242,1
1018,2201,1
1018,8570,1
1019,6176,1
1019,7177,1
1020,387,1
1020,2616,1
1020,5595,1
1021,172,1
1022,7806,1
1023,1985,1
1023,8719,1
1025,3007,1
1025,8926,1
1026,5641,1
1027,44,1
1027,2458,1
1027,7148,1
1029,438,1
1029,4012,1
1029,5495,1
1029,5717,1
1030,4279,1
1031,2680,1
1032,6302,1
1034,295,1
1034,3078,1
1034,7103,1
1034,9115,1
1035,8180,1
1038,336,1
1040,9091,1
1041,8800,1
1044,5220,1
1045,6881,1
1046,5748,1
1047,1712,1
1047,5791,1
1048,3350,1
1048,3804,1
1050,431,1
1051,3018,1
1051,3134,1
1052,1362,1
1053,468,1
1053,533,1
1053,1286,1
1053,4029,1
1053,4660,1
1053,8720,1
1054,5800,1
1055,1832,1
1057,2448,1
1058,1493,1
1059,1142,1
1060,1618,1
1060,6877,1
1060,8981,1
1062,2487,1
1062,4631,1
1064,3734,1
1065,8658,1
1067,112,1
1067,242,1
1067,2724,1
1067,2891,1
1067,4737,1
1067,5523,1
1067,5598,1
1067,7592,1
1067,7717,1
1068,7591,1
1069,2588,1
1069,2867,1
1071,2548,1
1072,3874,1
1072,6210,1
1073,568,1
1073,884,1
1073,4275,1
1073,4388,1
1073,4668,1
1074,1200,1
1074,2642,1
1074,6564,1
1075,4063,1
1076,8838,1
1077,283,1
1078,6734,1
1079,4723,1
1079,7924,1
1080,4629,1
1080,7658,1
1081,1355,1
1081,6475,1
1081,7361,1
1082,4414,1
1084,1922,1
1084,3309,1
1084,8782,1
1085,3913,1
1085,6049,1
1085,7592,1
1085,7711,1
1085,7786,1
1086,6443,1
1087,1665,1
1087,2731,1
1087,7468,1
1087,7521,1
1089,2244,1
1090,3070,1
1091,2246,1
1091,4837,1
1093,6475,1
1094,1020,1
1096,2889,1
1098,8717,1
1102,6368,1
1103,1110,1
1103,4844,1
1104,4045,1
1104,6689,1
1106,1702,1
1106,2552,1
1106,6218,1
1107,979,1
1108,2576,1
1109,315,1
1109,1489,1
1109,5094,1
1110,248,1
1110,262,1
1110,7025,1
1111,594,1
1112,6431,1
1113,6467,1
1113,6700,1
1114,4315,1
1114,5096,1
1119,1438,1
1120,2145,1
1120,2883,1
1121,4947,1
1121,5280,1
1122,2501,1
1122,4211,1
1124,1591,1
1124,3257,1
1124,5311,1
1124,8510,1
1125,3574,1
1125,6602,1
1127,3679,1
1127,3853,1
1128,1663,1
1129,1090,1
1129,8834,1
1130,4812,1
1130,5788,1
1130,5838,1
1131,7664,1
1132,1095,1
1132,8345,1
1133,2437,1
1133,3193,1
1135,6711,1
1140,7489,1
1141,4938,1
1142,914,1
1143,1438,1
1144,4597,1
1144,6272,1
1146,1187,1
1146,7945,1
1148,1657,1
1148,4793,1
1151,4679,1
1152,8543,1
1154,6388,1
1154,8472,1
1156,7923,1
1157,793,1
1158,2008,1
1158,7864,1
1159,1183,1
1159,8853,1
1161,3102,1
1161,3727,1
1161,8342,1
1163,7051,1
1163,8574,1
1164,8736,1
1165,779,1
1165,2511,1
1166,30,1
1166,2571,1
1166,3185,1
1166,3627,1
1166,4985,1
1167,5268,1
1168,754,1
1168,849,1
1168,2686,1
1169,319,1
1171,2776,1
1171,6695,1
1172,367,1
1175,3111,1
1176,2534,1
1176,4669,1
1177,192,1
1177,3431,1
1177,5495,1
1182,3875,1
1182,5542,1
1183,8691,1
1185,706,1
1185,4016,1
1186,6294,1
1188,1539,1
1192,1472,1
1192,3369,1
1193,4943,1
1194,1552,1
1196,1197,1
1196,2170,1
1197,4838,1
1197,5335,1
1197,5647,1
1200,1716,1
1200,3067,1
1200,3549,1
1204,3418,1
1204,3993,1
1205,4272,1
1206,906,1
1206,4404,1
1206,4730,1
1207,5247,1
1207,5549,1
1207,7958,1
1208,1589,1
1211,4676,1
1212,8258,1
1213,5411,1
1214,18,1
1214,2903,1
1214,4294,1
1214,6027,1
1215,2528,1
1215,8000,1
1218,187,1
1220,4995,1
1221,344,1
1221,1350,1
1221,7996,1
1222,1449,1
1222,8386,1
1223,4078,1
1224,7494,1
1225,5844,1
1226,4473,1
1229,279,1
1229,8821,1
1231,3998,1
1232,2764,1
1233,1156,1
1233,4039,1
1234,7702,1
1235,7645,1
1235,7746,1
1236,1269,1
1236,2803,1
1236,3634,1
1236,6107,1
1238,192,1
1238,4827,1
1238,5820,1
1239,1025,1
1239,8926,1
1241,3157,1
1241,3587,1
1242,98,1
1242,1790,1
1242,2016,1
1243,511,1
1243,6894,1
1244,8597,1
1245,5231,1
1250,8278,1
1251,6475,1
1253,4786,1
1253,6027,1
1253,6227,1
1254,215,1
1254,7356,1
1255,143,1
1255,4362,1
1256,4223,1
1256,7426,1
1257,7574,1
1258,5862,1
1258,7207,1
1259,1972,1
1259,3056,1
1260,2350,1
1260,2965,1
1261,3605,1
1262,556,1
1262,1465,1
1262,2424,1
1262,3255,1
1262,6455,1
1262,7923,1
1263,3505,1
1263,4788,1
1264,3895,1
1264,8608,1
1265,1965,1
1266,2819,1
1267,578,1
1268,63,1
1268,92,1
1268,1067,1
1268,4702,1
1268,4789,1
1268,5440,1
1268,5680,1
1268,9211,1
1270,5119,1
1272,2422,1
1275,2850,1
1276,4887,1
1276,6260,1
1277,344,1
1278,2611,1
1279,924,1
1280,8561,1
1281,8061,1
1282,869,1
1283,2073,1
1284,753,1
1284,7199,1
1287,8779,1
1288,570,1
1288,3318,1
1290,6216,1
1290,8412,1
1291,1594,1
1291,6123,1
1292,5851,1
1292,6950,1
1292,8063,1
1293,8516,1
1297,7703,1
1297,8754,1
1298,6250,1
1299,6352,1
1301,6952,1
1301,7883,1
1302,3059,1
1302,7993,1
1305,6291,1
1306,37,1
1307,3446,1
1307,6007,1
1308,5089,1
1309,482,1
1310,3154,1
1313,411,1
1313,8056,1
1314,1560,1
1314,7790,1
1315,3848,1
1315,3991,1
1315,4533,1
1315,7089,1
1315,9238,1
1316,737,1
1316,5249,1
1320,7538,1
1321,125,1
1321,1762,1
1322,5642,1
1324,574,1
1324,5552,1
1325,5082,1
1326,892,1
1327,2314,1
1327,2317,1
1327,3705,1
1328,660,1
1328,984,1
1328,5355,1
1328,8399,1
1329,4523,1
1329,8100,1
1331,8318,1
1332,1780,1
1333,8340,1
1334,7702,1
1336,8135,1
1337,2607,1
1337,7448,1
1338,4318,1
1339,1703,1
1339,1774,1
1340,2809,1
1341,609,1
1341,1101,1
1342,6591,1
1343,1198,1
1343,3346,1
1345,8129,1
1346,1181,1
1348,1042,1
1348,2182,1
1348,3096,1
1348,4755,1
1349,8083,1
1350,2305,1
1351,4992,1
1352,1670,1
1352,6057,1
1352,7628,1
1354,502,1
1354,513,1
1355,2197,1
1355,4196,1
1355,5856,1
1356,5355,1
1357,1044,1
1357,3845,1
1359,3709,1
1360,307,1
1360,5741,1
1360,6710,1
1362,577,1
1362,1057,1
1364,2430,1
1366,131,1
1366,4373,1
1368,6018,1
1369,6813,1
1370,1379,1
1370,8863,1
1371,6476,1
1372,1087,1
1372,3523,1
1373,570,1
1373,3837,1
1374,3686,1
1374,5307,1
1378,2082,1
1379,3108,1
1379,3658,1
1379,5267,1
1380,8636,1
1381,2186,1
1382,1304,1
1382,7258,1
1384,3146,1
1385,7449,1
1386,885,1
1388,1068,1
1390,5733,1
1391,5828,1
1392,656,1
1392,1052,1
1392,2824,1
1392,5001,1
1393,5787,1
1394,1973,1
1395,4937,1
1396,9092,1
1397,3951,1
1397,4864,1
1397,9112,1
1400,8187,1
1401,2303,1
1401,5525,1
1402,5284,1
1404,6966,1
1407,5562,1
1407,6188,1
1408,4220,1
1409,5892,1
1409,6836,1
1409,9216,1
1412,3504,1
1412,6037,1
1413,5186,1
1414,1595,1
1415,3503,1
1416,7496,1
1417,1655,1
1418,7820,1
1420,644,1
1420,1799,1
1420,4303,1
1420,4888,1
1421,4953,1
1421,8671,1
1422,1462,1
1422,7772,1
1422,9112,1
1423,437,1
1423,4414,1
1423,6809,1
1423,8600,1
1424,902,1
1426,5258,1
1426,8716,1
1427,254,1
1427,6755,1
1427,6878,1
1427,7722,1
1428,6074,1
1430,5991,1
1431,2262,1
1433,5599,1
1435,7273,1
1436,9112,1
1437,5494,1
1438,1324,1
1439,5892,1
1440,1474,1
1441,2977,1
1442,1529,1
1442,4106,1
1443,1492,1
1443,2835,1
1445,5210,1
1445,6542,1
1445,7279,1
1447,1677,1
1448,5837,1
1448,7895,1
1449,8686,1
1450,4693,1
1450,9237,1
1451,5516,1
1452,7690,1
1452,8099,1
1454,86,1
1454,8154,1
1454,8238,1
1455,857,1
1456,6658,1
1457,4446,1
1458,2459,1
1458,3113,1
1458,8210,1
1458,8987,1
1459,6495,1
1460,50,1
1461,3754,1
1461,6179,1
1464,6998,1
1465,1551,1
1465,3830,1
1465,4000,1
1466,8649,1
1466,9062,1
1467,2587,1
1469,289,1
1469,2384,1
1470,2880,1
1471,5617,1
1472,2560,1
1473,8618,1
1474,6920,1
1475,4241,1
1476,961,1
1477,8086,1
1478,6616,1
1479,7343,1
1481,734,1
1481,3003,1
1481,5310,1
1481,5485,1
1483,2526,1
1484,648,1
1485,624,1
1485,4276,1
1485,4718,1
1486,6675,1
1487,464,1
1487,7896,1
1489,5790,1
1491,4489,1
1492,378,1
1492,6166,1
1492,8924,1
1493,1893,1
1493,6485,1
1495,4406,1
1495,9193,1
1496,974,1
1498,5425,1
1499,5198,1
1499,8925,1
1501,4081,1
1502,2795,1
1502,5589,1
1503,6544,1
1504,3231,1
1506,1668,1
1506,4304,1
1507,764,1
1507,2274,1
1507,7890,1
1508,4047,1
1508,6225,1
1508,8899,1
1509,1324,1
1512,2160,1
1512,6189,1
1513,4957,1
1513,6745,1
1513,9097,1
1514,7168,1
1516,8204,1
1517,3144,1
1518,3837,1
1519,1210,1
1520,3233,1
1521,7858,1
1522,4866,1
1522,5428,1
1522,6724,1
1523,5633,1
1523,8681,1
1525,6724,1
1526,2848,1
1526,4747,1
1527,8321,1
1529,1097,1
1531,5509,1
1532,4664,1
1533,7547,1
1533,8845,1
1534,7830,1
1534,9054,1
1535,2984,1
1539,4529,1
1540,2092,1
1540,3921,1
1540,4736,1
1542,816,1
1542,3773,1
1542,6907,1
1543,6504,1
1544,273,1
1544,1654,1
1544,8258,1
1547,500,1
1549,579,1
1549,3282,1
1549,9117,1
1550,3115,1
1550,3729,1
1551,1838,1
1553,5309,1
1554,198,1
1554,2591,1
1556,5365,1
1556,6332,1
1557,1278,1
1558,2833,1
1558,3336,1
1558,3459,1
1559,3194,1
1561,1688,1
1565,7716,1
1568,980,1
1570,4704,1
1571,6460,1
1575,4591,1
1576,1720,1
1576,2409,1
1577,5947,1
1578,5836,1
1579,5509,1
1581,63,1
1581,2724,1
1581,3423,1
1581,3533,1
1581,4099,1
1581,4488,1
1581,4737,1
1581,5523,1
1581,5596,1
1581,6848,1
1581,9211,1
1582,2105,1
1583,3733,1
1583,4862,1
1584,7474,1
1585,2461,1
1585,8978,1
1586,2099,1
1587,3349,1
1587,5717,1
1587,9100,1
1588,2890,1
1589,6821,1
1589,7213,1
1589,8365,1
1590,542,1
1591,8604,1
1592,7098,1
1593,6611,1
1594,366,1
1594,1420,1
1594,3783,1
1594,4917,1
1594,7408,1
1594,8714,1
1596,4492,1
1596,8193,1
1597,1989,1
1598,6645,1
1598,7382,1
1599,4096,1
1601,451,1
1601,2932,1
1601,5054,1
